intid,q1,tenure,rsentity,int_gender,int_ethnicity,off_female,off_bosniak,elected,tr_wearhijab,hijab_muslim,dv_const_1,dv_const_2,dv_const_3,dv_const_4,dv_const_5,dv_const_6,dv_represent_scale,dv_ethnic_coop_scale,approve_scale
11034,1,0,1,2,1,1,0,0,1,0,1,3,1,4,3,3,-2.8132164,-0.45001343,3
11034,1,10,1,2,1,0,0,1,0,0,2,2,5,4,5,4,-1.0175802,0.79597932,4
11034,1,3,1,2,1,1,0,1,1,0,5,2,4,4,5,5,-0.22427088,0.79597932,5
11034,1,3,1,2,1,1,0,1,1,0,4,4,5,4,4,3,0.65449661,0.17298293,3
11034,1,0,1,2,1,0,0,0,0,0,5,5,5,2,2,4,1.490535,-2.3519332,4
11034,1,0,1,2,1,0,0,0,1,0,2,2,4,5,4,2,-1.4681805,0.81244469,2
11034,1,0,1,2,1,0,0,0,0,0,1,1,4,4,4,3,-2.304219,0.17298293,3
11034,1,0,0,2,1,0,0,0,0,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
11034,1,0,1,2,1,1,0,0,0,0,4,5,3,4,3,2,0.17469773,-0.45001343,2
11034,1,0,1,2,1,0,0,0,0,0,5,4,4,2,5,4,0.61853278,-0.48294419,4
11034,1,3,1,2,1,0,0,1,0,0,4,5,5,4,4,4,1.0758985,0.17298293,4
11034,1,3,1,2,1,0,0,1,1,0,5,4,5,5,3,4,1.0691332,0.18944831,4
11034,1,0,1,2,1,0,0,0,1,0,4,3,1,2,3,3,-1.5693067,-1.7289369,3
11034,1,4,1,2,1,1,0,1,0,0,4,5,4,5,4,4,0.62529808,0.81244469,4
11034,1,0,1,2,1,0,0,0,1,0,2,2,2,1,2,2,-2.3693812,-2.991395,2
11034,1,12,1,2,1,0,0,1,1,0,4,5,3,4,5,4,0.17469773,0.79597932,4
11034,1,0,1,2,1,1,0,0,1,0,3,4,1,1,5,4,-1.5625414,-1.1224059,4
11034,1,12,1,2,1,0,0,1,1,0,5,2,2,4,3,4,-1.1254716,-0.45001343,4
11034,1,7,1,2,1,0,0,1,1,0,4,4,4,4,4,4,0.20389625,0.17298293,4
11034,1,4,1,2,1,0,0,1,1,0,4,4,5,4,5,5,0.65449661,0.79597932,5
11034,1,4,1,2,1,0,0,1,0,0,5,4,5,5,4,5,1.0691332,0.81244469,5
11034,1,0,1,2,1,0,0,0,0,0,5,3,5,5,5,3,0.64773136,1.435441,3
11034,1,3,1,2,1,0,0,1,1,0,5,5,4,5,5,5,1.0399346,1.435441,5
11034,1,6,1,2,1,0,0,1,1,0,5,2,5,4,5,1,0.22632949,0.79597932,1
11034,1,4,1,2,1,1,0,1,0,0,5,2,2,2,4,2,-1.1254716,-1.1059406,2
11034,1,0,1,2,1,1,0,0,0,0,5,2,4,3,5,2,-0.22427088,0.15651757,2
11034,1,0,1,2,1,1,0,0,1,0,3,4,5,4,4,2,0.23986009,0.17298293,2
11034,1,0,1,2,1,0,0,0,0,0,4,2,4,3,2,4,-0.63890743,-1.7124715,4
11034,1,0,1,2,1,0,0,0,0,0,4,3,2,4,3,2,-1.1187063,-0.45001343,2
11034,1,4,1,2,1,0,0,1,0,0,5,4,5,2,4,4,1.0691332,-1.1059406,4
11034,1,3,1,2,1,0,0,1,0,0,5,2,4,3,4,4,-0.22427088,-0.46647879,4
11034,2,1,1,2,1,0,0,1,0,0,3,5,5,4,4,3,0.66126192,0.17298293,3
12425,3,7,0,2,3,0,1,1,0,0,4,2,4,4,4,4,-0.63890743,0.17298293,4
12425,3,0,0,2,3,0,1,0,0,0,5,5,5,5,5,5,1.490535,1.435441,5
12425,3,3,0,2,3,1,1,1,0,0,5,3,4,3,5,5,0.19713096,0.15651757,5
12425,3,20,0,2,3,0,1,1,0,0,5,5,3,5,5,5,0.58933425,1.435441,5
12425,3,4,0,2,3,0,1,1,1,1,5,5,3,3,5,3,0.58933425,0.15651757,3
12425,3,3,0,2,3,0,1,1,0,0,5,5,5,5,5,5,1.490535,1.435441,5
12425,3,0,0,2,3,1,1,0,1,1,5,4,5,5,5,5,1.0691332,1.435441,5
12425,2,3,0,2,3,0,0,1,1,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,3,3,0,2,3,1,1,1,1,1,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,3,2,0,2,3,0,1,1,0,0,4,4,3,3,3,3,-0.24670412,-1.0894752,3
12425,2,3,0,2,3,0,0,1,0,0,5,1,1,4,5,1,-1.9974738,0.79597932,1
12425,2,1,0,2,3,0,0,1,1,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,2,7,0,2,3,0,0,1,0,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,2,3,0,2,3,1,0,1,0,0,5,5,5,5,5,5,1.490535,1.435441,5
12425,3,7,0,2,3,0,1,1,0,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,2,3,0,2,3,0,0,1,0,0,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,3,3,0,2,3,0,1,1,1,1,2,3,3,3,3,3,-1.4973791,-1.0894752,3
12425,2,7,0,2,3,0,0,1,1,0,4,4,3,3,3,4,-0.24670412,-1.0894752,4
12425,3,3,0,2,3,0,1,1,0,0,5,5,2,4,4,5,0.13873389,0.17298293,5
12425,3,0,1,2,3,0,1,0,0,0,5,4,5,1,1,5,1.0691332,-3.6143913,5
12425,3,7,0,2,3,0,1,1,1,1,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,3,3,0,2,3,0,1,1,1,1,3,3,3,3,3,3,-1.0827425,-1.0894752,3
12425,3,0,0,2,3,1,1,0,1,1,2,2,3,2,4,3,-1.9187809,-1.1059406,3
12425,3,3,0,2,3,0,1,1,0,0,5,4,4,4,5,5,0.61853278,0.79597932,5
12425,3,3,0,2,3,0,1,1,1,1,5,3,4,5,1,5,0.19713096,-1.0565444,5
12425,3,0,1,2,3,0,1,0,1,1,5,5,5,3,5,5,1.490535,0.15651757,5
12425,3,4,0,2,3,0,1,1,1,1,3,4,3,4,3,4,-0.66134065,-0.45001343,4
12425,3,3,0,2,3,0,1,1,0,0,5,5,4,5,5,4,1.0399346,1.435441,4
12425,3,7,0,2,3,0,1,1,1,1,5,4,4,4,4,4,0.61853278,0.17298293,4
12425,3,4,0,2,3,1,1,1,0,0,5,4,5,4,3,5,1.0691332,-0.45001343,5
12425,3,7,0,2,3,0,1,1,1,1,5,5,3,4,4,5,0.58933425,0.17298293,5
12425,3,3,0,2,3,1,1,1,0,0,5,3,5,5,3,4,0.64773136,0.18944831,4
12425,3,0,1,2,3,1,1,0,1,1,4,4,5,2,2,5,0.65449661,-2.3519332,5
12425,2,7,0,2,3,0,0,1,1,0,5,5,5,5,5,5,1.490535,1.435441,5
14314,3,0,0,1,1,0,1,0,1,1,5,5,5,5,3,5,1.490535,0.18944831,5
14314,3,0,1,1,1,0,1,0,1,1,5,3,5,4,4,4,0.64773136,0.17298293,4
14314,3,8,0,1,1,0,1,1,0,0,5,4,5,4,3,5,1.0691332,-0.45001343,5
14314,3,0,1,1,1,0,1,0,1,1,5,5,5,5,4,5,1.490535,0.81244469,5
14314,3,0,1,1,1,0,1,0,0,0,5,3,4,4,2,4,0.19713096,-1.0730098,4
14314,3,0,1,1,1,1,1,0,0,0,1,3,3,3,3,3,-1.9120156,-1.0894752,3
14314,3,3,0,1,1,0,1,1,0,0,5,5,5,5,1,5,1.490535,-1.0565444,5
