pair,date,year,village,district,vilno,disno,treat,poverty,pop2000,lpop2000,pop2002,pret,post,diff,groznyy,elevation,lelev,tariq,nn,lnn,reb,garrison,vildays,fail,swept,deaths,deathsd,wounded,woundedd,prop,propd,lprop,history,historyd,lhistory,change,decrease,increase,abandon,iso,neighbors,_st,_d,_t,_t0
1,6/1/2000,2000,Elistanzhi,Vedenskiy,36,15,0,3,1845,7.5202351,1683,4,3,-1,0,702,6.5539341,0,2.8469999,1.046266,1,1,28,1,0,,,,,,,,,,,-1,1,0,0,4,"Eshilkhatoy, Tsa-Vedeno, Vedeno, Neftyanoye",1,1,28,0
1,6/1/2000,2000,Malye Shuani,Nozhai-Yurtovskiy,79,9,1,3,323,5.7776518,500,0,1,1,0,670,6.507277,0,1.4816,.39312261,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,"Shena, Khashki-Mokhk, Yalkhoy-Mokhk, Turty-Khutor, Bel'ty, Gezenchu",1,1,5,0
2,6/5/2000,2000,Belgatoy,Shalinskiy,15,10,1,2,3395,8.1300592,3247,1,0,-1,0,809,6.6957989,0,4.8000002,1.568616,1,0,90,0,0,34,1,0,0,0,0,0,0,0,0,-1,1,0,2,0,,1,0,90,0
2,6/5/2000,2000,Oktya'brskoe,Vedenskiy,98,15,0,3,2724,7.9098568,4000,0,0,0,0,667,6.50279,0,1.4816,.39312261,1,0,90,0,0,,,,,,,,,,,0,0,0,0,5,"Vedeno, Neftyanoye, Dyshne-Vedeno, Eshilkhatoy, Elistanzhi",1,0,90,0
3,6/5/2000,2000,Chiri-Yurt,Shalinskiy,24,10,0,2,11316,9.3339729,5000,4,5,1,0,313,5.7462029,0,1.193,.1764711,1,1,25,1,0,,,,,,,,,,,1,0,1,0,4,"Staryye Atagi, Duba-Yurt, Novyye Atagi, Lakha-Varanda",1,1,25,0
3,6/5/2000,2000,Gansolchu,Nozhai-Yurtovskiy,40,9,1,3,823,6.712956,1000,0,0,0,0,738,6.6039438,0,1.8,.58778661,1,0,90,0,0,0,0,0,0,2,1,1.098612,0,0,0,0,0,0,0,5,"Akhkinchu-Barze, Yalkhoy-Mokhk, Malyye Shuani, Turty-Khutor, Shena",1,0,90,0
4,6/5/2000,2000,Achkoi-Martan,Achkhoi-Martanovskiy,2,1,0,2,20350,9.9208364,16742,4,8,4,0,246,5.505332,0,4.6700001,1.541159,0,1,1,1,0,,,,,,,,,,,1,0,1,0,1,Valerik,1,1,1,0
4,6/5/2000,2000,Khidi-Khutor,Shalinskiy,65,10,1,2,42,3.7376699,100,3,1,-2,0,490,6.194406,0,.74080002,-.3000246,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,4,9,"Regita, Bel'ty, Kuren'-Benoy, Dzhaglargi, Yalkhoy-Mokhk, Morzoi-Mokhk, Achireshki, Enikali, Akhkinchu-Borzoi",1,1,11,0
5,6/5/2000,2000,Agishbatoi,Vedenskiy,3,15,0,3,14,2.6390569,842,2,0,-2,0,816,6.7044139,0,1.4816,.39312261,1,0,90,0,0,,,,,,,,,,,-1,1,0,0,5,"Pervomayskaya, Guni, Mesedoy, Ersenoi, Oktya'berskoe",1,0,90,0
5,6/5/2000,2000,Shirdi-Mokhk,Vedenskiy,117,15,1,3,391,5.968708,500,1,0,-1,0,639,6.4599051,0,1.6668,.51090562,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,3,7,"Guni, Mesedoy, Achireshki, Enikali, Gezenchu, Ersenoi, N. Kurchali",1,0,90,0
