caseid,weight_full,mode,voted2012,regist2016,primary2016,intend.vote,ideology,pid_strength,born_again,fundamentalist,race,female,income,hannity,minutes60,cooper,matthews,press,conan,big.bang,modern.family,rush,NPR,voted2016,vote.choice2016,Dem.Pres.candFT,GOP.Pres.candFT,Lib.Pres.candFT,Green.Pres.candFT,Dem.House.candFT,GOP.House.candFT,Ind.House.candFT,Dem.Sen.candFT,GOP.Sen.candFT,Ind.Sen.candFT,Sr.SenFT,Jr.SenFT,Nonrun.SenFT,Dem.VP.candFT,GOP.VP.candFT,RobertsFT,PopeFT,Christian.FundFT,FemFT,LiberalsFT,Labor.UnionsFT,PoorFT,Big.BusinessFT,ConservativesFT,SCtFT,GaysFT,CongressFT,RichFT,MuslimsFT,ChristiansFT,JewsFT,Tea.PartyFT,PoliceFT,TransFT,ScientistsFT,BLMFT,tax.mill,vaccinces.in.school,vaccines,Govt.Reduce.Eq,Req.Equal,how.equal,Foreign.Im,immig.support,Free.Trade.Ag,marijuana,AsiansFT,HispanicsFT,BlacksFT,IllegalsFT,WhitesFT,location,educ,GOP,Dem,employed,cath_attend,prot_attend,jew_attend,cath_nonatt,prot_nonatt,jew_nonatt,Obama12,Romney12,yes.vote2016,Trump16,Clinton16
300001,0.842,1,0,1,0,1,NA,7,1,0,1,0,3,0,1,0,0,0,0,1,0,NA,NA,4,2,15,85,50,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,60,NA,60,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,1,1,2,-1,1,2,1,2,1,-1,30,30,60,0,60,LA,2,1,0,1,0,0,0,0,0,0,NA,NA,1,1,0
300002,1.0133,1,1,1,0,1,5,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,2,50,60,70,NA,NA,50,NA,50,50,NA,NA,NA,50,NA,60,50,50,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,1,1,1,1,1,1,NA,2,0,1,50,30,50,0,50,AR,4,1,0,1,0,0,0,0,0,0,1,0,1,1,0
300003,0.3672,1,0,0,0,NA,NA,3,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,-1,1,1,-1,1,1,1,1,-1,1,50,15,30,15,60,MS,2,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
300004,0.3663,1,1,1,0,NA,NA,5,1,0,1,0,4,1,0,0,0,0,0,1,0,0,0,NA,NA,15,60,50,NA,NA,70,NA,NA,NA,NA,85,60,NA,30,60,40,50,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,-1,0,NA,1,1,2,1,2,0,-1,50,50,50,40,50,TN,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0
300006,0.6463,1,1,1,0,1,4,3,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,30,15,40,70,50,50,NA,60,50,NA,NA,NA,50,50,40,50,100,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,1,0,NA,0,1,1,NA,4,0,-1,85,85,85,50,85,OH,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
300007,0.6881,1,1,1,0,NA,6,5,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,4,2,0,65,50,50,NA,NA,NA,NA,NA,NA,5,35,NA,30,80,50,85,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,0,1,2,-1,1,2,NA,3,1,-1,50,50,50,25,50,NJ,5,0,0,1,1,0,0,0,0,0,0,1,1,1,0
300008,4.6151,1,1,1,1,1,NA,1,0,0,2,0,5,0,1,1,1,1,0,0,1,0,0,4,1,85,50,NA,60,100,NA,NA,100,70,NA,NA,NA,NA,30,70,NA,100,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,0,1,2,1,1,1,NA,4,0,0,50,50,50,50,50,NY,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
300012,0.9426,1,1,1,1,1,5,4,0,0,1,1,6,1,1,0,0,0,0,1,0,1,0,4,2,15,85,15,50,50,50,NA,NA,NA,NA,40,40,NA,30,85,50,50,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,1,0,NA,-1,1,1,1,3,1,1,85,100,85,40,100,NJ,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0
300018,1.0097,1,1,0,0,NA,4,5,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,NA,NA,0,70,50,50,NA,85,NA,NA,NA,NA,50,60,NA,15,60,50,50,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,1,1,2,0,1,2,NA,1,0,1,70,85,60,0,100,TX,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
300020,0.6005,1,0,1,0,NA,3,3,1,0,1,1,4,0,0,0,0,0,0,0,1,0,0,4,3,50,60,60,60,NA,60,NA,NA,NA,NA,50,NA,NA,50,50,NA,100,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,0,1,1,0,1,1,NA,3,0,0,50,50,50,50,50,MS,3,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0
