"","def.race","vict.race","sentence"
"1","black","white","life sentence"
"2","white","black","life sentence"
"3","white","white","life sentence"
"4","black","black","life sentence"
"5","black","black","life sentence"
"6","white","white","life sentence"
"7","black","white","death penalty"
"8","black","white","death penalty"
"9","black","black","life sentence"
"10","black","black","life sentence"
"11","black","black","life sentence"
"12","black","black","death penalty"
"13","black","black","life sentence"
"14","white","white","life sentence"
"15","white","white","life sentence"
"16","white","white","life sentence"
"17","black","white","life sentence"
"18","white","white","life sentence"
"19","white","white","life sentence"
"20","black","black","life sentence"
"21","white","black","life sentence"
"22","black","white","life sentence"
"23","black","white","life sentence"
"24","black","white","life sentence"
"25","black","black","life sentence"
"26","white","white","life sentence"
"28","black","white","life sentence"
"29","black","white","life sentence"
"30","black","white","life sentence"
"31","white","white","life sentence"
"33","white","white","life sentence"
"34","white","black","life sentence"
"36","black","black","life sentence"
"37","black","black","life sentence"
"38","black","black","life sentence"
"39","black","white","life sentence"
"40","black","black","life sentence"
"41","white","white","life sentence"
"42","white","white","life sentence"
"43","white","white","life sentence"
"44","black","white","life sentence"
"45","black","black","life sentence"
"46","black","black","life sentence"
"47","white","white","life sentence"
"48","black","black","life sentence"
"49","white","white","life sentence"
"50","black","white","death penalty"
"51","black","white","life sentence"
"52","white","white","life sentence"
"53","black","white","life sentence"
"54","black","white","life sentence"
"55","black","black","life sentence"
"56","black","white","death penalty"
"57","white","white","life sentence"
"58","black","black","life sentence"
"59","black","black","life sentence"
"60","black","white","life sentence"
"61","black","black","life sentence"
"62","white","white","death penalty"
"63","black","white","life sentence"
"64","black","white","life sentence"
"65","black","white","death penalty"
"66","black","white","life sentence"
"67","white","white","life sentence"
"68","black","black","life sentence"
"69","black","white","death penalty"
"70","black","black","death penalty"
"71","white","white","life sentence"
"72","white","white","life sentence"
"73","white","black","life sentence"
"74","black","black","life sentence"
"75","black","white","death penalty"
"76","white","white","death penalty"
"77","white","white","death penalty"
"78","white","white","life sentence"
"79","black","black","life sentence"
"80","black","white","life sentence"
"81","black","white","death penalty"
"82","black","white","death penalty"
"83","white","white","life sentence"
"84","black","black","life sentence"
"85","black","black","life sentence"
"86","black","white","death penalty"
"87","white","white","life sentence"
"88","white","white","life sentence"
"89","white","white","life sentence"
"90","white","white","life sentence"
"91","white","white","life sentence"
"92","black","white","life sentence"
"93","white","white","life sentence"
"94","white","white","life sentence"
"95","white","white","life sentence"
"96","black","white","life sentence"
"97","white","white","life sentence"
"98","black","black","life sentence"
"99","white","white","life sentence"
"100","black","white","death penalty"
"101","black","black","life sentence"
"102","white","white","life sentence"
"103","white","white","death penalty"
"104","white","white","life sentence"
"105","white","white","life sentence"
"106","white","white","life sentence"
"107","black","white","life sentence"
"108","white","white","life sentence"
"109","black","white","life sentence"
"110","white","white","life sentence"
"111","white","black","death penalty"
"112","white","white","death penalty"
"113","white","white","death penalty"
"114","white","white","death penalty"
"115","white","white","death penalty"
"116","white","black","life sentence"
"117","black","black","life sentence"
"118","white","white","death penalty"
"119","black","white","death penalty"
"120","black","black","life sentence"
"121","white","white","death penalty"
"122","white","white","death penalty"
"123","white","white","life sentence"
"124","black","black","life sentence"
"125","black","white","death penalty"
"126","white","black","life sentence"
"127","white","white","death penalty"
"128","white","white","life sentence"
"129","white","white","life sentence"
"130","white","white","life sentence"
"131","white","white","life sentence"
"132","black","white","death penalty"
"133","black","white","life sentence"
"135","white","white","life sentence"
"136","black","black","death penalty"
"137","black","white","death penalty"
"138","black","white","death penalty"
"139","black","black","death penalty"
"140","black","white","death penalty"
"141","black","black","death penalty"
"142","black","black","life sentence"
"144","black","black","life sentence"
"147","black","black","life sentence"
"148","black","black","life sentence"
"149","black","black","life sentence"
"150","white","white","life sentence"
"151","black","black","life sentence"
"152","white","white","life sentence"
"153","black","white","death penalty"
"154","black","white","death penalty"
"155","black","white","death penalty"
"156","white","white","death penalty"
"157","white","white","death penalty"
"159","white","white","death penalty"
"160","black","white","death penalty"
"161","black","white","death penalty"
"162","white","white","death penalty"
"163","black","black","death penalty"
"164","white","white","death penalty"
"165","black","white","death penalty"
"166","black","white","death penalty"
"167","black","white","death penalty"
"168","black","black","death penalty"
"169","black","white","death penalty"
"170","black","black","death penalty"
"171","black","black","death penalty"
"172","black","white","death penalty"
"173","black","white","death penalty"
"175","white","white","life sentence"
"176","white","white","death penalty"
"177","white","white","life sentence"
"178","white","white","death penalty"
"179","white","white","death penalty"
"180","black","white","death penalty"
"181","black","white","death penalty"
"182","black","black","death penalty"
"183","black","black","life sentence"
"184","white","white","life sentence"
"187","black","black","life sentence"
"188","black","black","life sentence"
"189","black","white","life sentence"
"190","black","black","life sentence"
"192","white","white","life sentence"
"193","black","black","life sentence"
"194","black","black","life sentence"
"195","white","white","life sentence"
"196","black","black","life sentence"
"197","white","white","life sentence"
"198","white","white","life sentence"
"199","black","black","life sentence"
"200","white","white","life sentence"
"201","white","white","life sentence"
"202","black","black","life sentence"
"203","white","white","life sentence"
"204","white","white","death penalty"
"205","black","black","life sentence"
"206","black","black","life sentence"
"207","white","white","life sentence"
"208","black","black","life sentence"
"209","black","white","life sentence"
"210","black","white","life sentence"
"211","white","white","life sentence"
"212","black","black","life sentence"
"213","white","white","life sentence"
"214","white","white","life sentence"
"215","white","white","death penalty"
"216","black","black","life sentence"
"217","black","white","life sentence"
"218","black","black","life sentence"
"219","black","white","life sentence"
"220","black","white","death penalty"
"221","white","white","death penalty"
"222","white","white","life sentence"
"223","white","white","life sentence"
"224","black","black","life sentence"
"225","black","black","life sentence"
"226","white","white","life sentence"
"227","black","black","death penalty"
"228","black","white","life sentence"
"229","black","white","life sentence"
"230","black","black","life sentence"
"231","white","white","life sentence"
"232","black","white","life sentence"
"233","black","white","life sentence"
"234","black","white","life sentence"
"235","black","black","life sentence"
"236","white","white","life sentence"
"237","white","white","life sentence"
"238","white","white","life sentence"
"240","white","white","death penalty"
"241","black","white","death penalty"
"242","black","white","death penalty"
"243","black","white","life sentence"
"244","black","white","life sentence"
"245","black","black","life sentence"
"246","black","black","life sentence"
"247","black","black","life sentence"
"248","white","white","life sentence"
"249","black","white","death penalty"
"250","black","black","life sentence"
"251","black","black","death penalty"
"252","black","black","life sentence"
"253","black","white","life sentence"
"254","black","black","life sentence"
"255","black","black","life sentence"
"256","black","black","life sentence"
"257","white","white","life sentence"
"258","black","black","life sentence"
"259","black","white","life sentence"
"260","black","black","life sentence"
"261","white","black","death penalty"
"262","white","white","life sentence"
"263","white","white","life sentence"
"264","black","white","life sentence"
"265","black","white","death penalty"
"266","black","black","life sentence"
"267","white","white","life sentence"
"268","white","white","life sentence"
"269","black","black","life sentence"
"270","black","black","life sentence"
"272","white","white","death penalty"
"273","white","white","death penalty"
"274","black","white","death penalty"
"275","black","white","life sentence"
"276","white","white","life sentence"
"277","black","white","life sentence"
"278","black","white","life sentence"
"279","black","black","life sentence"
"280","black","white","life sentence"
"281","white","white","death penalty"
"282","black","black","life sentence"
"283","white","white","life sentence"
"284","white","white","life sentence"
"285","black","white","death penalty"
"286","black","white","life sentence"
"287","black","black","life sentence"
"288","black","black","life sentence"
"289","black","white","life sentence"
"290","black","white","life sentence"
"291","black","black","life sentence"
"292","white","white","life sentence"
"293","black","black","life sentence"
"294","black","black","life sentence"
"295","white","white","life sentence"
"296","black","black","life sentence"
"297","white","white","death penalty"
"298","white","white","death penalty"
"299","white","white","death penalty"
"300","white","white","life sentence"
"301","black","black","life sentence"
"302","black","black","life sentence"
"303","black","black","life sentence"
"304","black","black","life sentence"
"305","black","black","life sentence"
"306","black","black","life sentence"
"307","black","black","life sentence"
"308","black","black","life sentence"
"309","black","black","life sentence"
"310","black","black","life sentence"
"311","black","black","life sentence"
"312","black","black","life sentence"
"313","black","black","life sentence"
"314","white","white","life sentence"
"315","black","black","life sentence"
"316","black","black","life sentence"
"317","white","white","life sentence"
"318","white","white","life sentence"
"319","black","black","life sentence"
"320","black","black","life sentence"
"321","white","white","life sentence"
"322","black","white","life sentence"
"323","white","white","life sentence"
"324","black","black","life sentence"
"325","white","white","life sentence"
"326","white","white","life sentence"
"327","black","black","life sentence"
"328","white","white","life sentence"
"329","black","black","life sentence"
"330","black","black","life sentence"
"331","black","black","life sentence"
"332","white","white","life sentence"
"333","black","black","life sentence"
"334","black","black","life sentence"
