age,age2,gender,ethnicity,education,vote,interest.politics,elections.clean,ideology,pres.approval
18,1,0,2,5,0,2,1,1,1
16,1,1,6,4,0,2,1,1,1
27,2,0,2,5,1,2,1,1,1
31,2,1,7,5,1,2,1,1,1
30,2,1,6,2,1,2,1,1,1
30,2,1,2,4,1,2,1,1,1
34,2,0,2,5,0,3,1,1,1
26,2,1,6,2,0,3,1,1,1
49,3,0,6,3,1,3,1,1,1
31,2,1,6,5,1,3,1,1,1
31,2,0,6,3,1,1,1,1,1
27,2,1,6,5,1,1,1,1,1
19,1,0,6,5,1,1,1,1,1
42,3,1,2,2,1,1,1,1,1
34,2,0,5,2,1,1,1,1,1
40,2,0,6,5,1,4,1,1,1
42,3,1,4,1,1,4,1,1,1
61,4,0,7,1,1,4,1,1,1
17,1,0,6,4,0,2,0,1,1
52,3,1,6,2,1,2,0,1,1
41,3,1,4,2,1,1,0,1,1
38,2,0,4,2,1,1,0,1,1
40,2,1,6,2,1,1,0,1,1
69,4,1,6,2,1,1,0,1,1
27,2,1,6,3,1,4,0,1,1
45,3,1,4,2,1,1,,1,1
54,3,0,6,2,1,1,,1,1
24,1,0,2,2,0,2,1,2,1
28,2,1,4,5,1,2,1,2,1
33,2,0,6,5,1,2,1,2,1
60,3,0,6,1,1,2,1,2,1
32,2,0,4,4,1,2,1,2,1
23,1,0,7,3,1,3,1,2,1
37,2,0,6,3,1,3,1,2,1
39,2,0,7,2,1,3,1,2,1
68,4,0,7,2,1,3,1,2,1
26,2,1,4,5,1,1,1,2,1
20,1,0,4,1,1,1,1,2,1
45,3,1,6,1,1,1,1,2,1
62,4,1,6,1,1,1,1,2,1
56,3,1,6,2,1,1,1,2,1
31,2,0,4,7,1,4,1,2,1
52,3,0,6,2,0,2,0,2,1
55,3,0,4,1,1,2,0,2,1
38,2,0,4,2,1,2,0,2,1
31,2,1,5,2,1,2,0,2,1
18,1,1,6,5,0,1,0,2,1
86,4,0,4,2,0,1,0,2,1
20,1,1,5,5,1,1,0,2,1
39,2,1,5,1,1,1,0,2,1
45,3,1,5,1,1,1,0,2,1
48,3,0,6,1,1,1,0,2,1
72,4,0,6,1,1,2,,2,1
30,2,0,6,2,0,1,,2,1
49,3,0,6,1,1,2,1,3,1
19,1,0,3,6,1,2,1,3,1
70,4,1,5,2,1,2,1,3,1
70,4,1,7,2,1,2,1,3,1
36,2,1,6,2,1,2,1,3,1
18,1,0,6,4,1,2,1,3,1
26,2,0,1,7,0,3,1,3,1
26,2,1,6,7,1,3,1,3,1
18,1,0,2,2,1,3,1,3,1
48,3,1,6,2,1,3,1,3,1
78,4,1,6,2,0,1,1,3,1
31,2,0,4,7,1,4,1,3,1
66,4,0,4,7,1,4,1,3,1
24,1,1,2,7,1,2,0,3,1
26,2,1,,3,1,2,0,3,1
21,1,0,2,5,1,2,0,3,1
48,3,1,5,1,1,2,0,3,1
22,1,0,5,2,1,2,0,3,1
30,2,0,5,2,1,2,0,3,1
39,2,1,6,2,1,2,0,3,1
38,2,0,6,2,1,2,0,3,1
57,3,0,6,2,1,2,0,3,1
61,4,0,4,3,1,3,0,3,1
32,2,0,6,2,1,3,0,3,1
55,3,1,5,1,1,,0,3,1
32,2,1,2,5,1,1,0,3,1
39,2,1,5,5,1,1,0,3,1
57,3,1,2,2,1,1,0,3,1
31,2,0,6,3,1,4,0,3,1
28,2,0,4,2,1,2,,3,1
17,1,0,4,2,1,1,,3,1
48,3,1,6,2,1,1,,3,1
16,1,0,6,3,0,2,1,4,1
17,1,1,4,2,0,2,1,4,1
19,1,0,4,4,0,2,1,4,1
23,1,1,5,7,1,2,1,4,1
46,3,1,6,7,1,2,1,4,1
30,2,0,6,5,1,2,1,4,1
27,2,0,4,6,1,2,1,4,1
43,3,0,4,6,1,2,1,4,1
54,3,1,4,2,1,2,1,4,1
60,3,1,4,2,1,2,1,4,1
62,4,1,5,2,1,2,1,4,1
53,3,1,6,2,1,2,1,4,1
32,2,0,4,4,1,2,1,4,1
18,1,1,4,5,0,3,1,4,1
70,4,0,6,7,1,3,1,4,1
28,2,0,7,2,1,3,1,4,1
24,1,0,5,4,1,3,1,4,1
32,2,0,7,2,1,1,1,4,1
44,3,1,6,2,1,1,1,4,1
70,4,0,6,2,1,1,1,4,1
59,3,0,6,7,0,4,1,4,1
44,3,0,2,7,1,4,1,4,1
44,3,0,4,5,1,4,1,4,1
66,4,0,4,2,1,4,1,4,1
19,1,0,5,3,0,2,0,4,1
35,2,0,4,2,0,2,0,4,1
17,1,0,6,2,0,2,0,4,1
18,1,1,4,4,0,2,0,4,1
36,2,1,4,5,1,2,0,4,1
55,3,0,4,5,1,2,0,4,1
29,2,1,6,5,1,2,0,4,1
45,3,0,2,2,1,2,0,4,1
35,2,1,4,2,1,2,0,4,1
67,4,1,4,2,1,2,0,4,1
55,3,0,4,2,1,2,0,4,1
31,2,1,5,2,1,2,0,4,1
19,1,0,5,2,1,2,0,4,1
45,3,0,6,2,0,3,0,4,1
30,2,0,2,2,1,3,0,4,1
18,1,0,6,4,1,3,0,4,1
17,1,1,4,3,0,1,0,4,1
17,1,1,4,4,0,1,0,4,1
34,2,1,5,3,1,1,0,4,1
26,2,1,4,5,1,1,0,4,1
34,2,0,6,1,1,1,0,4,1
40,2,0,7,6,1,1,0,4,1
25,1,1,2,2,1,1,0,4,1
20,1,0,5,2,1,1,0,4,1
30,2,1,6,7,1,4,0,4,1
35,2,1,2,2,1,4,0,4,1
60,3,1,6,2,1,2,,4,1
30,2,0,5,1,1,,,4,1
52,3,1,5,2,1,1,,4,1
27,2,0,2,5,1,4,,4,1
19,1,1,6,5,0,2,1,5,1
70,4,0,2,1,0,2,1,5,1
94,4,1,6,1,0,2,1,5,1
17,1,0,4,2,0,2,1,5,1
32,2,1,2,3,1,2,1,5,1
31,2,0,4,3,1,2,1,5,1
26,2,0,6,3,1,2,1,5,1
19,1,0,5,5,1,2,1,5,1
23,1,1,6,5,1,2,1,5,1
21,1,1,6,5,1,2,1,5,1
44,3,0,6,5,1,2,1,5,1
34,2,1,3,6,1,2,1,5,1
45,3,1,4,2,1,2,1,5,1
35,2,0,4,2,1,2,1,5,1
65,4,0,4,2,1,2,1,5,1
39,2,1,5,2,1,2,1,5,1
62,4,1,6,7,1,3,1,5,1
28,2,1,4,5,1,3,1,5,1
30,2,1,6,5,1,3,1,5,1
22,1,0,2,2,1,3,1,5,1
50,3,0,2,2,1,3,1,5,1
59,3,0,4,2,1,3,1,5,1
55,3,0,4,2,1,3,1,5,1
86,4,0,2,1,1,1,1,5,1
24,1,1,4,5,1,4,1,5,1
20,1,1,6,6,1,4,1,5,1
18,1,0,6,6,0,2,0,5,1
17,1,1,2,2,0,2,0,5,1
16,1,1,5,2,0,2,0,5,1
22,1,0,5,2,0,2,0,5,1
18,1,1,4,4,0,2,0,5,1
18,1,0,5,4,0,2,0,5,1
44,3,0,4,3,1,2,0,5,1
24,1,1,5,3,1,2,0,5,1
36,2,1,2,5,1,2,0,5,1
31,2,0,5,1,1,2,0,5,1
25,1,1,4,6,1,2,0,5,1
42,3,1,4,6,1,2,0,5,1
30,2,1,6,6,1,2,0,5,1
31,2,1,2,4,1,2,0,5,1
16,1,1,5,3,0,3,0,5,1
80,4,1,2,1,0,3,0,5,1
19,1,1,2,2,0,3,0,5,1
18,1,1,6,4,0,3,0,5,1
33,2,1,6,7,1,3,0,5,1
23,1,0,6,5,1,3,0,5,1
26,2,0,6,5,1,3,0,5,1
41,3,0,2,2,1,3,0,5,1
33,2,0,6,2,1,3,0,5,1
73,4,0,6,2,1,3,0,5,1
33,2,0,6,4,1,3,0,5,1
38,2,1,3,5,0,1,0,5,1
19,1,1,6,4,0,1,0,5,1
43,3,0,6,3,1,1,0,5,1
57,3,1,4,5,1,1,0,5,1
41,3,1,2,1,1,1,0,5,1
24,1,0,2,1,1,1,0,5,1
27,2,1,2,2,1,1,0,5,1
31,2,0,4,2,1,1,0,5,1
43,3,1,6,4,1,1,0,5,1
17,1,0,6,4,1,1,0,5,1
33,2,0,4,3,1,4,0,5,1
41,3,0,2,5,1,4,0,5,1
39,2,1,2,4,0,2,,5,1
53,3,1,6,3,1,3,,5,1
78,4,0,6,7,0,2,1,6,1
16,1,1,2,3,0,2,1,6,1
16,1,0,5,3,0,2,1,6,1
16,1,1,6,3,0,2,1,6,1
20,1,1,4,5,0,2,1,6,1
53,3,0,4,5,0,2,1,6,1
58,3,1,5,1,0,2,1,6,1
67,4,0,5,1,0,2,1,6,1
22,1,1,6,6,0,2,1,6,1
25,1,0,4,2,0,2,1,6,1
21,1,0,6,2,0,2,1,6,1
35,2,1,2,7,1,2,1,6,1
51,3,1,2,7,1,2,1,6,1
25,1,0,4,7,1,2,1,6,1
25,1,0,6,7,1,2,1,6,1
32,2,0,5,3,1,2,1,6,1
30,2,0,6,3,1,2,1,6,1
50,3,1,2,5,1,2,1,6,1
25,1,0,2,5,1,2,1,6,1
31,2,0,2,5,1,2,1,6,1
45,3,0,2,5,1,2,1,6,1
25,1,0,4,5,1,2,1,6,1
65,4,0,4,5,1,2,1,6,1
41,3,1,5,5,1,2,1,6,1
25,1,0,5,5,1,2,1,6,1
34,2,1,6,5,1,2,1,6,1
42,3,1,6,5,1,2,1,6,1
23,1,0,6,5,1,2,1,6,1
30,2,0,6,5,1,2,1,6,1
55,3,1,6,1,1,2,1,6,1
63,4,1,6,1,1,2,1,6,1
67,4,1,6,1,1,2,1,6,1
59,3,1,4,6,1,2,1,6,1
57,3,0,4,6,1,2,1,6,1
59,3,1,6,6,1,2,1,6,1
63,4,1,6,6,1,2,1,6,1
67,4,1,2,2,1,2,1,6,1
60,3,0,2,2,1,2,1,6,1
68,4,0,2,2,1,2,1,6,1
48,3,1,4,2,1,2,1,6,1
51,3,0,4,2,1,2,1,6,1
47,3,0,4,2,1,2,1,6,1
74,4,0,4,2,1,2,1,6,1
41,3,1,5,2,1,2,1,6,1
23,1,0,5,2,1,2,1,6,1
47,3,1,,2,1,2,1,6,1
54,3,1,6,2,1,2,1,6,1
61,4,1,6,2,1,2,1,6,1
23,1,0,6,2,1,2,1,6,1
41,3,0,6,2,1,2,1,6,1
41,3,0,6,2,1,2,1,6,1
72,4,0,6,2,1,2,1,6,1
21,1,1,4,4,1,2,1,6,1
45,3,1,4,4,1,2,1,6,1
21,1,1,6,4,1,2,1,6,1
