deaths,pressure,ndam,masfem,female,Name
2,960,1590,6.77778,1,Easy
4,955,5350,1.38889,0,King
3,985,150,3.83333,0,Able
1,987,58,9.83333,1,Barbara
0,985,15,8.33333,1,Florence
60,960,19321,8.11111,1,Carol
20,954,3230,8.55556,1,Edna
20,938,24260,9.44444,1,Hazel
0,962,2030,8.5,1,Connie
200,987,14730,9.88889,1,Diane
7,960,6200,5.94444,1,Ione
15,975,1540,7,1,Flossy
1,946,540,9.88889,1,Helene
0,984,430,9.88889,1,Debra
22,950,510,9.77778,1,Gracie
50,930,53270,9.27778,1,Donna
0,981,35,8.72222,1,Ethel
46,931,15850,9.5,1,Carla
3,996,300,9.94444,1,Cindy
3,968,6450,7.94444,1,Cleo
5,966,16260,9.33333,1,Dora
37,950,2770,8.83333,1,Hilda
3,974,800,9.44444,1,Isbell
75,948,20000,8.33333,1,Betsy
6,982,730,8.77778,1,Alma
3,983,99,8.27778,1,Inez
15,950,5060,7.27778,1,Beulah
3,977,800,8.94444,1,Gladys
256,909,23040,9.05556,1,Camille
22,945,6870,9.44444,1,Celia
0,978,300,8.5,1,Edith
2,979,500,7.38889,1,Fern
0,995,200,10,1,Ginger
117,980,20430,8.66667,1,Agnes
1,952,1180,8.72222,1,Carmen
21,955,6190,8.94444,1,Eloise
5,980,570,10.44445,1,Belle
0,995,66,6.88889,1,Babe
1,986,70,1.66667,0,Bob
15,970,2700,1.72222,0,David
5,946,12770,2.5,0,Frederic
2,945,2130,2.66667,0,Allen
21,962,10400,9.83333,1,Alicia
3,949,410,9.94444,1,Diana
0,1003,130,1.66667,0,Bob
1,987,160,2.22222,0,Danny
4,959,4180,9.72222,1,Elena
8,942,3020,9.5,1,Gloria
12,971,4730,1.94444,0,Juan
5,967,1310,9.66667,1,Kate
3,990,6,9.38889,1,Bonnie
5,990,58,2.88889,0,Charley
0,993,1,1.83333,0,Floyd
1,984,4,8.33333,1,Florence
13,986,290,9.05556,1,Chantal
21,934,20020,2.88889,0,Hugo
3,983,230,2.33333,0,Jerry
15,962,3620,1.66667,0,Bob
62,922,66730,2.22222,0,Andrew
3,961,96,9.83333,1,Emily
6,973,1650,7.22222,1,Erin
9,942,7550,8.5,1,Opal
8,974,700,8.5,1,Bertha
26,954,8260,7.16667,1,Fran
10,984,200,2.22222,0,Danny
3,964,1650,9.38889,1,Bonnie
3,987,160,1.88889,0,Earl
1,964,3870,2.27778,0,Georges
0,951,94,2.33333,0,Bret
56,956,8130,1.83333,0,Floyd
8,964,1430,9.27778,1,Irene
2,963,1260,10.33333,1,Lili
3,979,250,9.16667,1,Claudette
51,957,4980,9.38889,1,Isabel
1,972,5,4.16667,0,Alex
10,941,20510,2.88889,0,Charley
7,960,12620,6,1,Frances
8,985,170,2.66667,0,Gaston
25,946,18590,1.05556,0,Ivan
5,950,10210,8.5,1,Jeanne
1,991,350,9.94444,1,Cindy
15,946,2650,2.44444,0,Dennis
1,982,91,9.16667,1,Ophelia
62,937,10690,9.5,1,Rita
5,950,25960,8.61111,1,Wilma
1,985,51,2.38889,0,Humberto
1,967,1110,9.83333,1,Dolly
52,954,4360,1.72222,0,Gustav
84,950,20370,1.88889,0,Ike
41,952,7110,9.27778,1,Irene
5,966,24000,1.94444,0,Isaac
159,942,75000,9,1,Sandy
NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,
