"","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"1",0,6,1,1,5,44,0,1
"2",1,2,2,1,4,43,0,0
"3",1,4,2,1,4,67,0,1
"4",1,5,3,1,5,70,0,0
"5",0,3,4,1,4,76,0,0
"6",0,5,3,0,4,58,1,0
"7",0,6,4,1,4,71,0,0
"8",1,5,3,1,5,61,0,0
"9",1,2,4,1,5,65,1,0
"10",1,4,2,1,4,68,0,1
"11",0,5,4,1,4,61,1,0
"12",0,6,5,0,4,55,1,0
"13",0,5,1,0,5,48,0,0
"14",0,2,5,1,3,69,1,0
"15",0,5,1,1,5,72,0,1
"16",0,4,5,1,5,61,0,0
"17",1,6,5,0,5,64,0,0
"18",0,6,2,1,5,70,0,1
"19",1,5,3,1,4,33,1,0
"20",0,2,5,0,5,74,0,0
"21",1,4,4,1,5,47,1,0
"22",0,2,4,0,5,60,1,0
"23",0,4,3,1,5,64,0,1
"24",1,2,3,1,4,70,0,1
"25",0,4,5,1,4,68,1,0
"26",0,5,2,0,4,72,0,1
"27",0,2,4,1,4,75,0,0
"28",1,5,5,1,5,62,1,0
"29",0,6,3,0,4,45,0,0
"30",1,6,3,0,3,25,0,1
"31",1,2,5,1,4,67,1,0
"32",0,6,1,1,5,48,0,1
"33",0,3,2,1,5,71,0,1
"34",0,6,4,1,5,76,1,0
"35",0,4,5,0,5,43,0,0
"36",0,5,3,0,2,58,0,1
"37",0,4,5,1,5,57,1,0
"38",0,4,2,1,5,34,0,1
"39",1,5,2,0,5,32,0,0
"40",0,6,3,1,3,67,0,1
"41",1,6,2,1,4,64,0,1
"42",1,6,1,1,5,47,0,0
"43",0,3,2,1,5,63,0,1
"44",1,3,1,1,1,58,0,1
"45",0,5,3,1,5,71,0,1
"46",0,4,5,1,5,64,1,0
"47",0,5,3,1,5,59,0,0
"48",0,1,5,1,4,85,1,0
"49",1,6,2,1,5,69,0,1
"50",0,6,4,0,4,68,0,0
"51",0,5,4,1,5,71,1,0
"52",1,3,5,1,4,54,1,0
"53",0,2,5,1,4,67,1,0
"54",1,5,3,1,5,71,0,0
"55",0,5,1,0,5,55,0,1
"56",1,5,2,0,5,61,0,1
"57",1,2,2,1,5,66,0,1
"58",1,3,1,1,4,58,0,1
"59",0,4,4,1,5,47,0,0
"60",0,4,4,1,4,73,0,0
"61",1,5,1,1,3,49,0,1
"62",0,6,5,1,4,83,1,0
"63",0,2,5,1,3,48,0,0
"64",0,6,4,0,4,56,1,0
"65",1,5,3,0,1,53,0,0
"66",0,5,3,1,5,59,0,0
"67",1,3,1,1,4,71,0,0
"68",1,6,2,0,4,50,0,1
"69",0,6,2,1,4,82,0,1
"70",1,6,2,1,5,40,0,1
"71",0,4,3,0,5,64,0,0
"72",1,2,4,0,5,67,0,1
"73",1,2,3,1,5,70,0,1
"74",1,5,3,1,5,61,0,0
"75",1,2,5,1,3,76,1,0
"76",1,2,5,0,1,50,1,0
"77",1,2,4,0,3,58,0,1
"78",1,2,2,0,3,68,0,1
"79",0,2,3,1,5,70,0,0
