State,Dem2012,Rep2012,Dem2008,Rep2008
Alabama,38.36,60.55,38.74,60.32
Alaska,40.81,54.8,37.89,59.42
Arizona,44.59,53.65,45.12,53.64
Arkansas,36.88,60.57,38.86,58.72
California,60.24,37.12,61.01,36.95
Colorado,51.49,46.13,53.66,44.71
Connecticut,58.06,40.73,60.59,38.22
Delaware,58.61,39.98,61.94,36.95
District of Columbia,90.91,7.28,92.46,6.53
Florida,50.01,49.13,51.03,48.22
Georgia,45.48,53.3,46.99,52.2
Hawaii,70.55,27.84,71.85,26.58
Idaho,32.62,64.53,36.09,61.52
Illinois,57.6,40.73,61.92,36.78
Indiana,43.93,54.13,49.95,48.91
Iowa,51.99,46.18,53.93,44.39
Kansas,37.99,59.71,41.65,56.61
Kentucky,37.8,60.49,41.17,57.4
Louisiana,40.58,57.78,39.93,58.56
Maine_,56.27,40.98,57.71,40.38
Maryland,61.97,35.9,61.92,36.47
Massachusetts,60.65,37.51,61.8,35.99
Michigan,54.21,44.71,57.43,40.96
Minnesota,52.65,44.96,54.06,43.82
Mississippi,43.79,55.29,43,56.18
Missouri,44.38,53.76,49.29,49.43
Montana,41.7,55.35,47.25,49.51
Nebraska_,38.03,59.8,41.6,56.53
Nevada,52.36,45.68,55.15,42.65
New Hampshire,51.98,46.4,54.13,44.52
New Jersey[106],58.38,40.59,57.27,41.7
New Mexico,52.99,42.84,56.91,41.78
New York[107],63.35,35.17,62.88,36.03
North Carolina,48.35,50.39,49.7,49.38
North Dakota,38.69,58.32,44.62,53.25
Ohio[108],50.67,47.69,51.5,46.91
Oklahoma,33.23,66.77,34.35,65.65
Oregon,54.24,42.15,56.75,40.4
Pennsylvania,51.97,46.59,54.49,44.17
Rhode Island,62.7,35.24,62.86,35.06
South Carolina,44.09,54.56,44.9,53.87
South Dakota,39.87,57.89,44.75,53.16
Tennessee,39.08,59.48,41.83,56.9
Texas,41.38,57.17,43.68,55.45
Utah,24.75,72.79,34.41,62.58
Vermont,66.57,30.97,67.46,30.45
Virginia,51.16,47.28,52.63,46.33
Washington,56.16,41.29,57.65,40.48
West Virginia,35.54,62.3,42.59,55.71
Wisconsin[109],52.83,45.89,56.22,42.31
Wyoming,27.82,68.64,32.54,64.78
