democracy,judind,judattacks,corruption,attacksCat,ruleoflaw
0,.4606832,.65914625,.97590363,4,1
0,.41572672,.53773737,.90361446,3,2
1,.59023523,.69323164,.74698794,4,
0,.36335805,.23778607,.3493976,1,2
1,.67418629,.74987829,.78313255,4,
0,.39929101,.60915434,.80722892,3,2
1,1,.32997891,.084337346,2,
1,.8567515,.32543418,.18072289,2,
0,.31598452,.64129198,.85542166,4,2
1,.20883016,.63544881,.91566265,4,2
1,.78246856,.13731538,.27710843,1,
1,.6662907,.60201263,.78313255,3,
0,.52642602,.2194449,.6987952,1,2
1,.36529166,.39376724,.84337348,2,
1,.70705771,1,.67469877,4,
0,.068482116,.25158253,.51807231,1,1
1,.67402512,.72780395,.77108431,4,
0,.21688688,.46891737,.84337348,3,1
1,.32114083,.90699559,.80722892,4,
1,.74830806,.35172862,.68674701,2,
1,.81807929,.23307905,.24096386,1,
0,.77827907,.32786885,.53012049,2,2
1,.7566871,.10988476,.45783132,1,
0,.34724459,.39798734,.89156628,2,1
1,.85949081,.31553319,.084337346,2,
1,.9806639,.21165395,.048192769,1,
1,.77972931,.29638046,.3253012,1,
0,.31582341,.58578151,.6987952,3,1
0,.58540124,.61434829,.87951809,4,2
0,.22172092,.2366499,.86746991,1,1
0,.40315825,.7334848,.90361446,4,1
0,.2671608,.21392632,.90361446,1,1
1,.90976477,.93118,.68674701,4,
1,.534805,.76416165,.85542166,4,
1,.77360618,.1835741,.51807231,1,
1,.76426041,.24557702,.49397591,1,
0,.19174992,.22123031,.60240966,1,1
1,.8101837,.21230319,.33734939,1,
1,.84128261,.51582533,.54216868,3,
1,.94424748,0,.16867469,1,
0,.39445698,.44148678,.79518074,3,2
1,.96906221,.19087811,.012048192,1,
1,.31340638,.54861224,.77108431,3,
0,.1996455,.27463076,.79518074,1,2
1,.32226878,.88021427,.86746991,4,2
0,.5486626,.60071415,.79518074,3,2
0,.080889463,.65687388,.81927711,4,1
1,.86980343,.27284533,.39759037,1,
1,.88704479,.24947248,.33734939,1,
0,.42346117,.51842231,.80722892,3,2
1,.86674184,.041227072,.060240965,1,
0,.64212054,.43710437,,3,
1,.7428295,.32494724,.30120483,2,
0,.51095712,.57068658,.78313255,3,2
1,.86641961,.25320566,.20481928,1,
1,.45343217,.49326408,.63855422,3,2
1,.7465356,.60331112,.66265059,3,
